Text,lables
"I bought these after I switched to eating all whole grains as an alternative to regular egg noodles.  They taste fine but they're really nothing special.  The noodles are also pretty narrow and I had hoped for something wider.  My biggest complaint though was how several of the bags (I think it was 4) popped open during shipping and I ended up throwing them out since I didn't want to use a product from an opened bag.  If they had a better way to ship these they might be worth buying again but as for me, I'm going to try to find another whole wheat egg noodle.",Neutral
"PROS:<br />Added sweetness without the added carbs<br />No effects on insulin levels<br />Safe for diabetics<br />Handy 1 g packages<br />0 calories<br />Organic<br /><br />CONS:<br />Sweet, but with a different overall taste than sugar<br />Bitter aftertaste is not completely eliminated<br />The bitter aftertaste is accentuated by the amount of product used--the more you add, the more you get the aftertaste<br />Fine grained, non-sugar like powder<br />Expensive<br /><br />OTHER NOTES:<br />Packaged for sweetening beverages, not for baking (not bulked up enough to be used on its own)<br />A single package is supposed to be equal to '2 tsp of sugar,' but this really depends on your own individual taste<br /><br />Trying to decrease the amount of empty carbs in my diet, I purchased Wholesome Organic Stevia from another vendor.  I have never really been a fan of stevia before, but I have used Wholesome Sweeteners' products before and after reading the written-on-the-box statement that they had developed the 'Best Tasting Stevia in the World,'  I decided to give stevia one more try.  I can't say that this product blew me away or has made me love stevia, but as stevia products go this one ain't bad.  It compares fairly with other stevia brands that I have used in the past. I found that it made a reasonable sweetener for coffee and tea, so long as I was careful not to use too much.  (Use too much and that well-known, bitter aftertaste really shoots through.)<br /><br />Stevia is an all natural sweetener that is promoted as a substitute for table sugar (sucrose).  There are any number of brands and different forms in which stevia is sold.  Popular formulations of stevia include highly concentrated liquid extracts and powdered forms, such as the stevia sold here.  Stevia is often mixed with other substances to bulk it up and to help hide stevia's well known bitter aftertaste.  In the case of the Wholesome Sweeteners product, the stevia is mixed with organic agave inulin and silica.<br /><br />In its natural form stevia leaves are something like 30 to 45 times the sweetness of table sugar, but the purified forms of stevia can be up to 250 to 300 times sweeter than sugar.  Commercial stevia is usually an extract from the Stevia rebaudiana plant, and, in this light, the Wholesome Sweeteners product is no exception.  The difference in commercial compounds is usually not the source of the stevia but rather the final purity/composition of the extract and how the stevia is extracted.  According to what I have read, the sweetness of the stevia is mostly derived from something called rebaudioside A, the major component 'steviol glycoside' that lends the sweetest taste to stevia with the least amount of bitter aftertaste.<br /><br />Companies may argue about the proper way to derive and purify their stevia extracts, but the major deciders,of course, are your own taste buds.  Let me just warn you:  do NOT attempt to taste test this (or any) stevia directly out of the package.  If you apply stevia directly to your tongue, you will be overwhelmed by the initial sweetness of the stevia and then majorly turned off by the awful, bitter aftertaste.  Stevia needs to be mixed into a larger volume (such as an 8 or 12 ounce cup of coffee) before it is sampled.<br /><br />When mixed into a cup of coffee, the Wholesome Sweeteners brand compared favorably to other brands of stevia that I have used.  The sweetness was certainly there, but is not exactly the same as table sugar.  For me, stevia has a more cotton-candy like sweetness that you may or my not prefer and for some odd reason it seemed more pronounced in the back rather than the front of my mouth (I don't have a good explanation for this, but for some reason it seems so).  I am okay with this kind of sweetness, but I prefer xylitol and erythritol(<a href=""http://www.amazon.com/gp/product/B004X71550"">Swerve Sweetener, 16oz [1lb</a>]), which have a taste that is more similar to table sugar.  I didn't notice much of a bitter taste at first (1/2 packet in 8 ounces), but at higher concentrations (a whole packet in 8 ounces) the bitterness was definitely there.  Although it wasn't pronounced, it was disturbing enough to make drinking the coffee a less pleasant experience.  Xylitol and erythritol do exhibit a 'cooling effect' at higher concentrations that may disturb some people, but on the whole have a cleaner, more sucrose-like flavor--they taste more like sugar than the stevia does.<br /><br />On the whole, the taste was palatable at lower concentrations.  Since I'm not the kind of guy that likes to suck coffee directly through the sugar cube, this was okay for me.  But I will warn you that if you are someone who likes their coffee very sweet and you try this with stevia, you will definitely be disappointed by that bitter aftertaste.<br /><br />If you are into artificial sweeteners (we're talking taste here, not other issues), this stevia is definitely better than saccharine.  I've never really liked the taste of saccharine very much and saccharine has a much more pronounced bitter aftertaste.  In comparison to Splenda (sucralose), the stevia is probably a dead heat.  On taste alone, I'd describe Splenda's sweet taste as more similar to sugar, but I've always found the aftertaste of Splenda to be a big turn off.  At low concentrations, I'd prefer Wholesome Sweeteners' stevia, but at higher levels of sweetness, I'd prefer splenda.  Once again, on taste alone, I'd have to give a real edge to Equal (aspartame).  Equal's sweetness isn't completely sucrose-like, but it is closer to a more pure sweetness than stevia.  Equal also has a less pronounced aftertaste.<br /><br />That being said, the artificial sweeteners have their own baggage and plenty of folks avoid them.  In the natural realm of things, I prefer erythritol.  It is less sweet than sugar, but tastes more like sugar.  Erythritol also has fewer GI side effects and is lower in calories than xylitol (xylitol has 40% fewer calories than table sugar).<br /><br />Please note, that this stevia is not meant to replace sugar in baking.  Unless it is packaged with filler, it isn't bulky enough nor does it have enough sugar-like physical qualities to be a baking substitute. However, you can buy formulations of stevia that are bulked up with fillers or other sweeteners (inulin, erythritol, etc.) so that it can be used for baking.  As noted above, however, stevia has a distinct taste that may or may not work with your baked goods.<br /><br />On the whole, this isn't a bad way to go if you like the taste of stevia.  It is a reasonable choice if you like its unique, sweet taste.  For me, it tasted far better than the artificial sweeteners, saccharine and Splenda.  At lower concentrations, I found it to be a pleasant sweetener for coffee and tea and it's always nice to have another, natural sweetener to choose from.  However, I'm not ready to jump on the stevia bandwagon yet: I'll certainly finish off my box of stevia, but after that I'll be going back to my erythritol...",Neutral
"I've been eating healthy foods almost exclusively for the past 7 years, so I end up eating things like this when I need a snack.  It's whole grain and has the lowest salt content of just about any cracker-type product that I can find, i.e., it's a reasonably healthy food.  Of course, the downside is that it doesn't taste  good.  I couldn't possibly eat it plain.  Instead, I spread on some healthy (i.e., no salt, no sugar, etc.) peanut butter, homemade hummus, or homemade guacamole.  That makes for a decent (but certainly not delicious) snack.  I often wonder if all this healthy eating is worth it.",Positive
"This is really a great way to have breakfast at your office or practically anywhere.  However, they don't give you an equal distribution of the various cereals.  Here is the breakdown (from the side of the box):<br /><br />16: 2.1oz Frosted Flakes<br /><br />8 : 1.5oz Froot Loops<br /><br />12: 2.8oz Rasin Bran Crunch<br /><br />10: 1.5oz Apple Jacks<br /><br />10: 1.5oz Corn Pops<br /><br />4(!): Cocoa Rice Krispies<br /><br />The main reason I got this over using regular boxes was that I wanted a variety of different cereals.  However, there are way too many Frosted Flakes and far too few Rice Krispies.  Kind of takes the ""variety"" out of variety pack.",Neutral
"The Arcor Coffee Caf&eacute; is a dark brown, filled, hard candy; hard and sweet on the outside with a coffee filling that is delicious. However, the amount of filling varies tremendously from piece to piece. I had some that were more filling than hard candy, while others were all hard and no filling. The yummy filling was a real crap shoot; maybe yes, maybe no. The outer hard candy was sweet with a little coffee flavor, but tasted kind of strange. Most of the coffee punch was in the filling. Coffee was 4th item on a list of ingredients that numbered 8. When the filling was plentiful=6 out of 10; when there wasn't any filling=3 out of 10<br />  FYI- United, Kopiko and Coffee Rio were the top finishing coffee candies.<br />  God bless. Mike",Negative
Good for my need plus it's says me the guess work. Taste good too!! it came to my door so fast it made me have movie night in the middle of the week,Positive
"We could not eat this product because it tasted really old and outdated.  I checked the package for an expiration date, and it had something stamped on the box, but I could not read it.  Very disappointed with this product and I will have to throw the remaining boxes away.",Negative
"I love this tea, it is great for people who suffer from IBS.  It helps relieve bloating and gas from foods.  Great tasting too!",Positive
"Although I did enjoy the other flavor I ordered a tiny bit more, the Chocolate with walnuts one, this was still a very enjoyable flavor.  Wonderful service from Ms. Das, including a hand signed coupon for a discount on future orders, along with samples of a couple other caramel flavors.  I'd order this or the Chocolate and walnut flavor again for sure, along with more of Das Food's gourmet salt.",Positive
"First of all in opening the box, we expected to small chocolate, the only smell was cardboard. Though the candies were of different shape and color everything tasted the same with no similarity to the flavor of chocolate in any way.<br />It was truly a waste of money. You would be much better off in just buying a Hershey Bar from the grocery store, at least that tastes like chocolate and it isn't stale.",Negative
"tastes - burnt, roasted, slightly rotten sunflower seed taste; gritty, bland - no salt,sugar only seeds. would not eat if it was free.""",Negative
Far and wide this is the best coffee I have tried yet!  Love it and wish I could afford it all the time.  Would like to see more sales on this coffee!  Great stuff!,Positive
"I've been using this for the past few years, but this year, I've not only found the bugs, but I actually have a WEED that grew and punctured through the bag!  I kept wondering where all the weeds were coming from in my planter boxes, and now I know!",Negative
"I requested this item from the Amazon Vine program and decided to have my family help me get more info for my review. I love eating healthy and was looking forward to a better alternative to the already semi-healthy granola I was enjoying. So, I sat my family down at the table. My dad, mom, two brothers, one sister and one grandmother and asked them to taste test it.<br /><br />My mom and sister were the first to protest. Now, I hadn't tried it at this point but everyone else had. My sister and mom told me it was too bland and the chocolate was too grainy. It didn't taste natural.<br /><br />My two brothers were next. My older brother (who is 28 years old) told me that the only time he would eat this would be if he was walking through the woods and hadn't eaten anything and had stumbled over it. My younger brother (22) said that while the taste wasn't awful, it ""just wasn't good either"".<br /><br />My grandmother was indifferent. She was the first person to like it a little bit even though she claimed it tasted like dry oatmeal and tiny flakes of chocolate.<br /><br />My dad said the same thing. That it tasted as if there was no chocolate in it at all and the granola had an oatmeal taste that didn't sit right with him.<br /><br />I figured that maybe they were making a fuss out of nothing so I decided to try it. In my hand it looked harmless but upon eating it, I found that I could not produce enough saliva to even slightly moisten the granola chunks and the chocolate used was horrible and crumbled in my mouth instead of melted.<br /><br />This is my very first bad review and I have to say... it deserves it. I will never purchase this item and if anyone wants the half of bag I got, it's being fed to my hampster. He happens to think it's wonderful!",Negative
"I'm not sure what I was really expecting when I ordered these, but they don't seem to live up to what was said about them. They sort of have a bacon flavor, which is nice. But, it only works when I am able to get the stuff out of the container. It tends to get clogged.",Neutral
"I love the pancakes this mix makes! You just add water and you have great, healthy pancakes! Most the time I add blueberries...even yummier!",Positive
"Could not get the bags to ""pop"" any edible pork rinds.  I tried several bags with no results.  I finally had to throw them out.  I was very dissapointed with this product.",Negative
"I was disappointed in this product especially considering how exceptional the Salmon Oil they make is.<br /><br />This did not pass the 11 rescue dog test! They just turned up their noses. So did the other dogs here. Very tiny tidbits, as well.Buy an extra bottle of the Grizzly Salmon oil instead.",Negative
Velveeta Au Gratin potatoes will surely change the way you think about little slimy potato chips. The poor quality of this food-type item makes me lose a little faith in this civilization and in the relationship between human animals and a free market economy.,Negative
"Great price. Mediocre taste (made with Bodum French press.) It was worth a try. Tastes vary though, so don't discard this one.",Neutral
"I bought this fudge expecting a more creamy fudge.  I was disappointed.  It has a strange undercooked grainy texture that I didn't like.  My canister was mainly rum raisin and that was my least liked flavor, it is made with real rum and I do not consume alcohol.  The ginger tasted odd and the strawberry didn't have any strawberry flavor.  I did like the Clotted cream it was very good, but only 2 in the pack.  I would not buy it again.",Neutral
My husband worked for this Oreintal family who gave him a 48 oz package of  NOH Hawaiian Iced Tea . He raved on how good it was . I didnt believe him until I actually tried it . UMMMM great cool taste and refreshing Ice tea . I would definetely recommend,Positive
"I like to eat Kashi Crunch and I was hoping this would be a slightly tastier alternative.  But when they says a ""hint of brown sugar"" they mean it!  These squares were not very exciting when it comes to flavor and I could barely register the brown sugar.  They are relatively filling though and with some fruit on top, they would make a good, quick breakfast for an adult getting ready to head out to work, with 4 hours until their lunch break.  But I don't feel it stands out much from other ""healthy"" cereals for adults.",Neutral
maybe i've just had way too many other bars. perhaps i've been spoiled by the best but these are super boring in my opinion. there's just no flavor!!,Neutral
"I ate a pack of these last week and since I like the taste of honey they did taste pretty good to me - well actually I have to confess that I ate the whole pack in one sitting...see I had the munchies and these were the only thing I had in reach.  Actually, after I ate the whole pack I was still hungry.  Each piece is really about the size of a Starburst candy so my personal vibe was that eating a few tiny squares wouldn't be giving me any extra energy on top of all the other coffees, (diet) red bulls, and cliff bars I frequently consume.<br /><br />  They did taste pretty natural and I could taste the honey.  I might eat them again for a sweet tooth fix but at $1+ per pack and non-filling I'll probably stick to cliff bars and just secretly raid my office neighbor's starburst jar for a sweet tooth fix here and there.  Overall I give 3 stars out of 5 in consideration of price/value and other alternatives out there.",Neutral
"After receiving my box of Big Nuts bars from Amazon Vine, I eagerly tore into the box to get my first taste of this treat.  Expecting something more along the lines of a candy bar, I was pleasantly surprised by the taste: peanuty, definitely, with a slight sense of the granola bar that it is meant to imitate. They are not overpoweringly sweet, but the second and third ingredients in the label are sugar and corn syrup. At 220 calories a pop, they could easily be diet killers, including the 22 g of carbs each medium sized bar provides. Would I purchase these in the store? Probably not. Granola bars aren't my favorite thing. It was worth a taste, however.",Neutral
"I've grown up with prayer plants, how the leaves close at night. The leaves on the green plant have turned yellow and the red leaf plant has turned brown.",Negative
This rice has a nice taste and the whole family loves it. I would recommend to anyone who likes rice.,Positive
"Machine does not work right. When you press down on the top of it to release a gumball, multiple gumballs fall down through the middle chamber instead of one. The gumballs get stuck on the way down through the machine. It is very frustrating for a child. DO NOT buy this product, spend a few more dollars and get a better quality product!!!",Negative
This tea is weak at best when compared to other rose hip teas I have tried. The bags have no string and tag. The bags are the limpest and often fall apart while squeezing. The only brand of tea I have ever had do this. I drink 4 to six cups of tea a day of various types and this is a very lame tea.,Negative
"as a new dog owner, i made the mistake of feeding my dog super-premium, filler-free raw food and treats from stella and chewys since she was a pup. But because of the high price of Stella and Chewys, i switched to the Zukes mini chicken treats. My mini dachshund turned her nose up at the treats, over and over.  Even with nothing else to eat in the home, she actually preferred gnawing on her deer antler over the Zuke's.<br /><br />i'm not saying that these treats are bad at all---but it may be a waste of money for overindulged dogs with ""caviar tastes"" that have been spoiled by their owners (especially small companion dogs).",Negative
I'm pretty sure they put crack in these because it is impossible to stop eating them.  This is my third bag and it's disappearing at an alarming rate! Love it.,Positive
"I haven't really used it too much yet.......  On the occasions that I have it's not really been what I wanted it to be, which has made me use it less -  I don't know - I need more time.......",Neutral
"This rice is absolutely outstanding both in flavor, aroma and texture. However, there is a ""trick"" to cooking this rice:<br /><br />1. Bring two cups of water to boil.<br /><br />2. Add one cup of rice and stir.<br /><br />3. Cover the rice and put stove on medium/low for 40 minutes.<br /><br />4. Turn off heat completely but keep rice on burner for 20 minutes.<br /><br />It comes out perfect every time, perfect texture, not mushy and deeeeelicous!!!",Positive
"I purchased this product because one of my cats, Opus, has lymphoma and was not eating.  The Sprinkles were supposed to make food irresistable.  Not only did Opus show no interest in the Sprinkled food but Shadow, the healthy one, also turned up her nose.  Fortunately, medication has helped Opus' appetite but they still don't want the Sprinkles.",Neutral
"I decided to try this sriracha out because I have been a fan of the Huy Fong (rooster) version for years. My initial impression was just ""eh"". I don't think its anywhere near as flavorful as the other version. There is a bit of heat to it, but its not a flavorful kind of heat. The other reviewers have talked about the sodium content and I was quite shocked. Both versions have the same serving size (1 tsp) and while the Huy Fong version has 100 mg per serving (4% of daily allowance) the Roland version has 2500 mg per serving (84% of daily allowance) so steer clear if you have high blood pressure. On another nutritional note, The Huy Fong version has 5 cal/tsp while the Roland version has 100 cal/tsp, so definitely not low calorie...<br /><br />Overall, if you had to choose between the two, I would definitely go for the original sriracha made by Huy Fong foods. It has more flavor and is much healthier for you!",Neutral
"I received my canned seeds quickly and at a good price.<br /> I was a bit dissapointed with the 2009 Lot date, so I think I will plant them next spring. I do not recall if this was in the discriprion ?<br />The packeging is great for long term storage.<br />Carl",Positive
"I will start with some helpful info..<br /><br />-Nespresso machine: Pixie<br />-Ne-Cap capsules 100 pcs. ($23.29)<br />-Coffee: Lavazza - Crema e Gusto 250g enough for 50 capsules ($5.75)<br />-Empty capsule weight: ~1 gram<br />-Filled capsule weight: ~6 grams<br />-One capsule preparation time: 60-70 secs<br />-Cost of filled capsule: ~$0.35<br /><br />The main reasons for purchasing the refill capsules are, being able to enjoy the coffee I like and save some money.<br /><br />I haven't encountered any troubles with the capsules EXCEPT that you dont get the best out of it, as most of the hot water is spilled into the used capsules container; although I had the capsules filled, pressed and sealed appropirately. Therefore, I had to reuse the same capsule, however, sometimes replaced it with another one. The reason of water spill/waste is that Ne-Cap capsules are shorter than Nespresso capsules. Thus I assume if they were the same size, the capsules will perform much better.<br /><br />This option is somehow economical, nevertheless, sometimes you may need to use two capsules to enjoy your Espresso, or Cappuccino cup.<br /><br />Conclusion, if you are not enjoying the taste of Nespresso flavours or you like to have your own ground coffee, and want to save some $$$, go for it..BUT dont expect the same performance and cleanness of Nespresso capsules.<br /><br />Update 2/8/2012================<br /><br />When I first used the Ne-Caps, I gave it 3 stars. After using almost 30 capsules, I got to believe that it's not worth it and that Nespresso capsules are irreplaceable. I tried all possible ways to enhance the performance of the capsules, I made more holes at the base, also I dilated the existing ones, but all my attempt were useless. The shape of Ne-Cap pods should be modified to look like nespresso ones. That way, I believe they would be better. So my advice is to stick to nespresso despite the price. Save yourself the time and headache and enjoy your easy, tasty coffee.",Negative
"Over half of the calories in this come from added sugar. While oatmeal is healthy for you, Quaker dumps a ton of sugar in to these things to make them palatable. 19g of sugar to be exact. A can of coke has 39g of sugar! Yuck, if you are looking for a high nutrition, healthy, low calorie food, look elsewhere. Over half of the calories in this come from added sugar.",Negative
I've only used it a couple of times and see no advantage over the more readily available Jane's Krazy Mixed-Up salt.  The big disadvantage is the holes in the container for shaking are just too large for the product so I ended up getting out too much of the stuff.  I've now transferred it to a container with smaller holes and after this inconvenience it works much better but is still nothing to get excited about.,Negative
"I like l.o.c green tea best of all green teas I've tasted,its smooth,not bitter and has a very natural sweetness to it.does not have the earthy bitterness or dirt taste that so many others do.",Positive
"My son is allergic to cow's milk, and this is a great nutritious alternative!  Plus, it's more like breastmilk.",Positive
I drink a lot of this stuff and Folgers Classic is my choice.  Have no use for all the other flavors or instant or that thick glue they sell at StarBucks.<br />I prefer (real coffee) and this is what I prefer.<br />It's the only thing I serve in my machine shop.  Nobody complains and we go thru a lot of this stuff so they must like it.,Positive
"I ordered this concentrate to make Papaya smoothies. The taste was sour, which is unbelievable as papayas are never sour-always mild and very slightly sweet. Had to throw the bottle away, and now have 2 more bottles I will never use. I am going back to using a fresh papaya, or will find another brand.",Negative
Coffee was OK I guess. I wasn't thrilled. Ended up giving it away. I think French roast from Costco is better. Just my opinion...,Negative
"Illy issimo cappuccino Italian espresso style coffee drink with lowfat milk and cocoa is a nice little 100 calorie treat in a 8.45 fl. oz. (250 ml) can.<br /><br />1930s Italy under the rule of Mussolini greatly contributed to the development of modern coffee culture, improved coffee-making, and new types of coffee-making equipment. The Horn of Africa (where coffee originated) was under Italian colonization and companies such as illy and Bialetti were founded.<br /><br />In that tradition, this drink is now made in Denmark under the issimo brand from illy and distributed in the U.S. by Coca-Cola.<br /><br />This canned cappuccino has a pleasant taste with a good balance of the coffee, milk, cocoa, and sugar with lots of visible solids. To be sure, it's not as good as freshly made cappuccino but it is what it is.",Positive
I don't advise you to buy these unless you enjoy artificial cheese and the waffie itself has no taste to it.(I thought they were going to be cheese flavored) I feel like I wasted the money on my gift card. NEVER will purchase these again. I had to give them away to some kids.,Negative
These brownies were easy to make and tasted great!  It's hard to tell they are gluten-free because they don't taste like it.  And I've never seen them offered so cheap as on Amazon.  I highly recommend them.,Positive
"My daughter likes these foods, but is not as keen on this flavor.  I think it is the the texture, this flavor is a little drier and more crumbly than the other flavors.  However, if I am not worried about the mess it almost makes a decent finger food for her.",Positive
"It was way too sweet.  Sweet enough to be sweet glaze for ham.  Why so much sugar, why any at all really, it's turkey for crying out loud.  The large amount of sodium gave me pause but I wasn't in the mood for leftovers at work again so I tried it anyway.",Negative
